0,0.08,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,
11,0.0224439,-0.0570862,-0.0583543,-0.0462269,-0.0441251,-0.0478345,-0.0540474,-0.0611264,-0.0678862,-0.0735722,-0.0777035,-0.0799943,-0.080291,-0.0785358,-0.0747547,-0.0690363,-0.0615357,-0.0524569,-0.0420498,-0.0306098,-0.0184621,-0.00594136,0.00660924,0.0188555,0.0304918,0.0412562,0.0509243,0.0593557,0.0664297,0.0721108,0.0764492,0.079499,0.0813142,0.0819823,0.0816536,0.0804854,0.0786182,0.0761357,0.0731097,0.0696118,0.0657138,0.0614873,0.0570041,0.0523356,0.0475331,0.0426109,0.0375793,0.0324489,0.02723,0.021933,0.0165683,
12,0.0281249,0.0108403,0.0141144,0.02902,0.0434919,0.0543629,0.0612652,0.0645886,0.0650571,0.0634187,0.060332,0.0563554,0.0519318,0.0474087,0.043048,0.0390483,0.035532,0.0325648,0.0301673,0.0283317,0.0270349,0.0262522,0.0259629,0.026152,0.0268152,0.0279611,0.0296019,0.0317554,0.0344386,0.0376508,0.0413807,0.0456172,0.0503486,0.0555391,0.0611196,0.0670189,0.0731745,0.0795495,0.0861118,0.0928293,0.09967,0.106602,0.113592,0.120611,0.127638,0.134673,0.141716,0.148765,0.15582,0.162882,0.169948,
13,0.043709,-0.0236819,-0.0133072,-0.0191992,-0.0277594,-0.0346935,-0.0395818,-0.0425798,-0.0439535,-0.0439618,-0.042819,-0.0406813,-0.0376105,-0.0336297,-0.0287492,-0.0229796,-0.0163868,-0.00909281,-0.0012825,0.00680222,0.014894,0.0227365,0.0301111,0.0368463,0.0428585,0.0481083,0.0525712,0.0562487,0.0591455,0.0612582,0.0625959,0.0631693,0.0629886,0.0620663,0.0604406,0.0581545,0.0552548,0.0517947,0.0478274,0.0434058,0.038583,0.0334123,0.0279466,0.0222394,0.016336,0.0102561,0.00401527,-0.0023706,-0.00888575,-0.0155144,-0.0222408,
14,0.00663038,-0.00843651,-0.0183651,-0.0120263,-0.00820201,-0.00709918,-0.00754074,-0.0090094,-0.0110923,-0.013503,-0.0160403,-0.0185683,-0.0209887,-0.0232282,-0.0252332,-0.0269606,-0.0283695,-0.0294259,-0.0301075,-0.0304147,-0.0303599,-0.0299705,-0.0292927,-0.0283776,-0.0272805,-0.0260443,-0.0247082,-0.0233085,-0.0218811,-0.0204623,-0.0190821,-0.0177702,-0.0165561,-0.0154609,-0.0144863,-0.013631,-0.0128914,-0.0122578,-0.0117196,-0.0112665,-0.0108881,-0.0105739,-0.0103135,-0.0100964,-0.00991307,-0.0097599,-0.00963428,-0.00953358,-0.00945518,-0.00939645,-0.00935477,
15,0.00965194,-0.0203452,-0.037494,-0.0495622,-0.0559275,-0.061467,-0.0672747,-0.0731081,-0.0785597,-0.0832495,-0.0869878,-0.0897495,-0.0916311,-0.0927809,-0.0933681,-0.0935745,-0.0935892,-0.0935929,-0.0937423,-0.0941574,-0.094926,-0.0961075,-0.09771,-0.0997148,-0.102058,-0.104643,-0.10736,-0.110065,-0.112614,-0.114916,-0.116915,-0.118557,-0.119789,-0.1206,-0.12104,-0.121162,-0.121013,-0.120623,-0.120022,-0.119238,-0.1183,-0.117235,-0.116073,-0.114841,-0.113557,-0.112225,-0.11085,-0.109435,-0.107986,-0.106507,-0.105001,
16,0.00464307,-0.0551987,-0.058897,-0.0502662,-0.0390886,-0.0275916,-0.0167728,-0.00698639,0.00161636,0.00900116,0.0151785,0.0202118,0.0242338,0.02742,0.0299784,0.0321369,0.0341108,0.0360773,0.0381705,0.0404558,0.0429546,0.0456504,0.0484718,0.0513292,0.0541057,0.0566793,0.0589352,0.0607825,0.0621363,0.0629517,0.0632237,0.0629492,0.0621249,0.0607635,0.0589089,0.0566087,0.0539082,0.0508446,0.0474527,0.0437678,0.0398247,0.0356586,0.0313045,0.0267975,0.0221649,0.0174186,0.012569,0.00762626,0.00260077,-0.00249722,-0.0076574,
17,0.00932414,0.0713397,0.0878747,0.0896122,0.0903341,0.0932285,0.0978888,0.103288,0.108439,0.112584,0.115251,0.116174,0.115278,0.11264,0.108458,0.103025,0.0966954,0.0898673,0.0829568,0.0763572,0.0704487,0.0655502,0.061888,0.0596286,0.058793,0.0592012,0.0606178,0.0627833,0.0654385,0.0684063,0.0715823,0.0748649,0.0781529,0.0813793,0.0845359,0.0876198,0.090631,0.0935759,0.0964613,0.0992944,0.102082,0.104831,0.107549,0.110243,0.112919,0.11558,0.118226,0.12086,0.123482,0.126093,0.128696,
18,0.023717,0.0234697,0.0259018,0.0270426,0.0296542,0.0314077,0.0317861,0.0309971,0.0295345,0.0278355,0.0261375,0.024551,0.0231027,0.0217927,0.0205828,0.0194071,0.018188,0.0168499,0.0153386,0.013625,0.011713,0.00961183,0.00735854,0.00500569,0.00262344,0.000279823,-0.00195865,-0.00402272,-0.00584619,-0.00739649,-0.00865222,-0.00959134,-0.0101928,-0.0104533,-0.0103764,-0.00996386,-0.0092207,-0.00816688,-0.00682619,-0.00522244,-0.00337941,-0.00132091,0.000929274,0.00334806,0.00592216,0.00863915,0.0114854,0.0144472,0.0175108,0.0206627,0.0238891,
19,0.0774603,-0.0409806,-0.062302,-0.0739419,-0.0835341,-0.0923492,-0.100363,-0.107445,-0.113572,-0.118748,-0.122974,-0.126262,-0.128653,-0.130209,-0.131006,-0.131142,-0.13072,-0.129846,-0.128626,-0.127165,-0.125565,-0.123921,-0.122319,-0.120835,-0.119531,-0.118439,-0.117579,-0.116938,-0.116489,-0.11621,-0.116077,-0.116066,-0.116151,-0.116316,-0.116543,-0.116815,-0.117118,-0.117444,-0.11779,-0.118149,-0.118518,-0.11889,-0.119261,-0.119626,-0.11998,-0.120324,-0.120659,-0.120985,-0.121305,-0.121618,-0.121927,
20,-0.0138679,-0.0470359,-0.0791163,-0.0871822,-0.100001,-0.115183,-0.130402,-0.14471,-0.157479,-0.168252,-0.17666,-0.182427,-0.185357,-0.185348,-0.182384,-0.176549,-0.168035,-0.157149,-0.144282,-0.129912,-0.11457,-0.0988004,-0.0831679,-0.0682252,-0.0544816,-0.0423515,-0.0321989,-0.0242213,-0.01855,-0.0151587,-0.0138961,-0.0146074,-0.0171366,-0.021253,-0.026617,-0.0328806,-0.0397566,-0.0471211,-0.0548769,-0.0629269,-0.0711738,-0.0795206,-0.0878701,-0.096126,-0.104236,-0.112211,-0.120063,-0.127808,-0.135459,-0.143031,-0.150537,
21,-0.0451179,-0.048809,-0.0339931,-0.00760714,0.0108393,0.0222183,0.0286021,0.031486,0.0321354,0.0314002,0.0298731,0.0280179,0.026224,0.0247915,0.0239222,0.0237284,0.0242483,0.0254654,0.0273372,0.0297797,0.0326867,0.035928,0.0393447,0.042769,0.0460256,0.0489565,0.0514161,0.0533023,0.054531,0.0550821,0.0549872,0.0542793,0.0529919,0.051181,0.0489389,0.0463606,0.0435249,0.0404685,0.0372215,0.0338141,0.0302765,0.0266388,0.0229312,0.0191836,0.0154156,0.0116298,0.00782739,0.00400971,0.000177974,-0.00366658,-0.00752269,
22,0.0232292,-0.0152016,-0.0135461,-0.0132953,-0.0189336,-0.0268429,-0.0352063,-0.0435257,-0.0515338,-0.0590999,-0.066132,-0.0725934,-0.0785241,-0.0840029,-0.0891246,-0.0939791,-0.0986327,-0.10311,-0.107405,-0.111485,-0.115296,-0.118788,-0.121913,-0.124631,-0.126921,-0.12877,-0.130172,-0.131154,-0.131761,-0.132038,-0.132033,-0.13179,-0.131357,-0.130765,-0.130023,-0.129138,-0.128119,-0.126973,-0.125711,-0.124341,-0.122872,-0.121314,-0.119676,-0.117966,-0.116191,-0.114356,-0.112467,-0.110529,-0.108548,-0.106531,-0.104483,
23,0.0124849,0.0469553,0.0548484,0.0515461,0.0580142,0.0682722,0.0791056,0.0893506,0.0982989,0.10551,0.110643,0.113495,0.11403,0.112339,0.10862,0.103161,0.0962782,0.0883147,0.0796088,0.0704778,0.0612431,0.0521915,0.0435827,0.0356519,0.028584,0.0225173,0.0175679,0.0137847,0.0111869,0.00973536,0.00935814,0.0099829,0.0115359,0.0139059,0.0169452,0.0205051,0.0244605,0.0287484,0.0333154,0.0381084,0.0430741,0.0481593,0.0533108,0.0584766,0.0636324,0.0687786,0.0739163,0.0790467,0.0841709,0.0892898,0.0944047,
24,0.0170327,0.0286788,0.0242158,0.0181874,0.0197153,0.0242408,0.0286925,0.0317837,0.0328024,0.0315729,0.0282975,0.0234016,0.0173741,0.0106577,0.00363341,-0.0033847,-0.0101373,-0.0164239,-0.0220921,-0.0270392,-0.031187,-0.0344882,-0.0369301,-0.0385193,-0.0392949,-0.0393181,-0.0386605,-0.0374246,-0.0357225,-0.0336534,-0.0313039,-0.0287604,-0.0261091,-0.0234207,-0.0207422,-0.0181186,-0.015583,-0.0131396,-0.0107881,-0.00852856,-0.00636077,-0.0042846,-0.00229993,-0.000406296,0.00140147,0.00313089,0.00478931,0.00638409,0.00792257,0.00941209,0.01086,
25,0.0238715,-0.0356579,-0.0494105,-0.0387539,-0.0349862,-0.0349997,-0.0362076,-0.0378168,-0.0393953,-0.0407744,-0.0418926,-0.0427563,-0.0433674,-0.043681,-0.0436078,-0.0430313,-0.0418434,-0.0399811,-0.0374342,-0.0342631,-0.030564,-0.026472,-0.022166,-0.0178386,-0.0136911,-0.00990169,-0.00663578,-0.00401706,-0.00215227,-0.00108001,-0.000788955,-0.00126667,-0.00250005,-0.00444619,-0.00702092,-0.0101371,-0.0137189,-0.0177174,-0.0220878,-0.026785,-0.0317641,-0.0369802,-0.0423883,-0.0479437,-0.0536157,-0.0593933,-0.0652671,-0.0712276,-0.0772653,-0.0833706,-0.0895342,
26,-0.0114639,0.0139654,0.0093011,0.0118538,0.0196604,0.0278225,0.034778,0.0401447,0.0438551,0.0459966,0.0467417,0.0463199,0.0449911,0.0430194,0.0406675,0.038214,0.0359307,0.0340775,0.0329032,0.0326173,0.0334109,0.0354333,0.0387862,0.0435448,0.049728,0.0572875,0.0661412,0.0761038,0.0869559,0.0984524,0.110333,0.122337,0.134203,0.145646,0.156357,0.166024,0.174432,0.181586,0.187525,0.192286,0.195908,0.198428,0.199883,0.200314,0.19978,0.198363,0.196148,0.193219,0.18966,0.185553,0.180983,
27,-0.0167888,0.000803737,-0.011803,-0.0118432,-0.00432153,0.00569497,0.016041,0.0259628,0.0351047,0.043319,0.0505367,0.0567526,0.0620136,0.0663981,0.0699886,0.0728733,0.0751477,0.0769135,0.0782788,0.0793318,0.0801542,0.0807952,0.0812703,0.0815765,0.0816826,0.081544,0.0811157,0.0803628,0.0792538,0.0777706,0.0759064,0.0736548,0.0710092,0.0679704,0.0645513,0.0607661,0.0566339,0.0521825,0.0474402,0.0424354,0.0371963,0.0317515,0.0261292,0.0203578,0.0144593,0.00844537,0.00232658,-0.00388639,-0.0101829,-0.0165523,-0.0229839,
28,0.00703815,-0.0610254,-0.0741019,-0.0798398,-0.0827341,-0.0822589,-0.0785675,-0.0724341,-0.064605,-0.0556501,-0.04596,-0.0357892,-0.0253148,-0.0146541,-0.00389023,0.00691956,0.0177332,0.0285004,0.039168,0.0496444,0.0598352,0.0696239,0.0788947,0.0875416,0.0954795,0.10264,0.108967,0.114441,0.119056,0.122816,0.125746,0.127867,0.129202,0.12976,0.129546,0.128565,0.12684,0.12442,0.121356,0.117701,0.113505,0.10882,0.103698,0.098191,0.0923443,0.0861888,0.0797533,0.0730665,0.0661574,0.0590547,0.0517871,
29,-0.0144595,-0.0403316,-0.0984,-0.105881,-0.101915,-0.0961445,-0.0900793,-0.0840444,-0.0781228,-0.0722961,-0.0665267,-0.0607806,-0.0550356,-0.0492725,-0.0434683,-0.0376079,-0.0316974,-0.0257738,-0.01989,-0.0141223,-0.00855309,-0.00326364,0.0016762,0.00621136,0.0103069,0.0139285,0.0170423,0.0196154,0.0216156,0.0230225,0.0238254,0.024014,0.0235786,0.0225431,0.0209733,0.0189379,0.0164995,0.0137059,0.0106017,0.00723183,0.0036412,-0.000125356,-0.00402298,-0.00800724,-0.0120508,-0.0161478,-0.0202937,-0.0244838,-0.0287138,-0.0329789,-0.0372746,
